,國家,日期,總確診數,新增確診數,新增死亡數
163986,台灣,2020-01-16,0,0,0
163987,台灣,2020-01-17,0,0,0
163988,台灣,2020-01-18,0,0,0
163989,台灣,2020-01-19,0,0,0
163990,台灣,2020-01-20,0,0,0
163991,台灣,2020-01-21,0,0,0
163992,台灣,2020-01-22,1,0,0
163993,台灣,2020-01-23,1,0,0
163995,台灣,2020-01-25,3,0,0
163999,台灣,2020-01-29,8,0,0
164002,台灣,2020-02-01,10,0,0
164003,台灣,2020-02-02,10,0,0
164004,台灣,2020-02-03,10,0,0
164006,台灣,2020-02-05,11,0,0
164008,台灣,2020-02-07,16,0,0
164011,台灣,2020-02-10,18,0,0
164012,台灣,2020-02-11,18,0,0
164013,台灣,2020-02-12,18,0,0
164014,台灣,2020-02-13,18,0,0
164015,台灣,2020-02-14,18,0,0
164016,台灣,2020-02-15,18,0,0
164019,台灣,2020-02-18,22,0,0
164023,台灣,2020-02-22,26,0,0
164028,台灣,2020-02-27,32,0,0
164034,台灣,2020-03-04,42,0,0
164037,台灣,2020-03-07,45,0,0
164038,台灣,2020-03-08,45,0,0
164039,台灣,2020-03-09,45,0,0
164075,台灣,2020-04-14,393,0,0
164077,台灣,2020-04-16,395,0,0
164078,台灣,2020-04-17,395,0,0
164087,台灣,2020-04-26,429,0,0
164088,台灣,2020-04-27,429,0,0
164089,台灣,2020-04-28,429,0,0
164090,台灣,2020-04-29,429,0,0
164091,台灣,2020-04-30,429,0,0
164092,台灣,2020-05-01,429,0,0
164096,台灣,2020-05-05,438,0,0
164099,台灣,2020-05-08,440,0,0
164100,台灣,2020-05-09,440,0,0
164101,台灣,2020-05-10,440,0,0
164102,台灣,2020-05-11,440,0,1
164103,台灣,2020-05-12,440,0,0
164104,台灣,2020-05-13,440,0,0
164105,台灣,2020-05-14,440,0,0
164106,台灣,2020-05-15,440,0,0
164107,台灣,2020-05-16,440,0,0
164108,台灣,2020-05-17,440,0,0
164109,台灣,2020-05-18,440,0,0
164110,台灣,2020-05-19,440,0,0
164111,台灣,2020-05-20,440,0,0
164112,台灣,2020-05-21,440,0,0
164114,台灣,2020-05-23,441,0,0
164115,台灣,2020-05-24,441,0,0
164116,台灣,2020-05-25,441,0,0
164117,台灣,2020-05-26,441,0,0
164118,台灣,2020-05-27,441,0,0
164119,台灣,2020-05-28,441,0,0
164121,台灣,2020-05-30,442,0,0
164122,台灣,2020-05-31,442,0,0
164124,台灣,2020-06-02,443,0,0
164125,台灣,2020-06-03,443,0,0
164126,台灣,2020-06-04,443,0,0
164127,台灣,2020-06-05,443,0,0
164128,台灣,2020-06-06,443,0,0
164129,台灣,2020-06-07,443,0,0
164130,台灣,2020-06-08,443,0,0
164131,台灣,2020-06-09,443,0,0
164132,台灣,2020-06-10,443,0,0
164133,台灣,2020-06-11,443,0,0
164134,台灣,2020-06-12,443,0,0
164135,台灣,2020-06-13,443,0,0
164136,台灣,2020-06-14,443,0,0
164138,台灣,2020-06-16,445,0,0
164139,台灣,2020-06-17,445,0,0
164141,台灣,2020-06-19,446,0,0
